timestamp,phase,speed_kmh,event,elapsed_seconds,datetime,seconds_only,Violation,Coordinates
1705.370000124,2,63.28,SPEED_VIOLATION,1705.370000124,1970-01-01 00:28:25.370000124,25,Speed 63.28 km/h > limit 30.00 km/h ,"(x=72.453911, y=-135.191833, z=8.004513)"
1719.30000019,2,43.11,SPEED_VIOLATION,1719.30000019,1970-01-01 00:28:39.300000190,39,Speed 43.11 km/h > limit 30.00 km/h ,"(x=-1.415354, y=-105.454346, z=0.001645)"
1731.789999962,2,388.9,PHASE_STOP,1731.789999962,1970-01-01 00:28:51.789999962,51,Assisted-A,
1731.789999962,2,388.9,PHASE_STOP,1731.789999962,1970-01-01 00:28:51.789999962,51,Assisted-A,
1800.00999999,3,0.0,PHASE_START,1800.00999999,1970-01-01 00:30:00.009999990,0,Assisted-H,
1931.25,4,0.0,PHASE_START,1931.25,1970-01-01 00:32:11.250000000,11,Assisted-AH,
2002.480000019,4,56.55,SPEED_VIOLATION,2002.480000019,1970-01-01 00:33:22.480000019,22,Speed 56.55 km/h > limit 30.00 km/h ,"(x=-5.694588, y=-62.061611, z=0.001595)"
2059.460000038,4,57.63,SPEED_VIOLATION,2059.460000038,1970-01-01 00:34:19.460000038,19,Speed 57.63 km/h > limit 30.00 km/h ,"(x=-73.963295, y=-12.381519, z=-0.069552)"
2063.810000181,4,45.06,SPEED_VIOLATION,2063.810000181,1970-01-01 00:34:23.810000181,23,Speed 45.06 km/h > limit 30.00 km/h ,"(x=-77.771553, y=-79.746208, z=-0.851949)"
2069.320000171,4,66.07,SPEED_VIOLATION,2069.320000171,1970-01-01 00:34:29.320000171,29,Speed 66.07 km/h > limit 30.00 km/h ,"(x=-77.278595, y=-123.808388, z=-0.075535)"
2074.140000105,4,61.47,RED_LIGHT_VIOLATION,2074.140000105,1970-01-01 00:34:34.140000105,34,TrafficLight Violation ,"(x=-17.961271, y=-198.197464, z=0.002105)"
2078.430000065,4,83.4,SPEED_VIOLATION,2078.430000065,1970-01-01 00:34:38.430000065,38,Speed 83.40 km/h > limit 30.00 km/h ,"(x=-71.008804, y=-183.271637, z=0.001688)"
2084.480000019,4,44.56,RED_LIGHT_VIOLATION,2084.480000019,1970-01-01 00:34:44.480000019,44,TrafficLight Violation ,"(x=82.614235, y=-153.485504, z=6.771492)"
2092.110000133,4,73.51,SPEED_VIOLATION,2092.110000133,1970-01-01 00:34:52.110000133,52,Speed 73.51 km/h > limit 30.00 km/h ,"(x=81.636070, y=-177.252899, z=0.553879)"
2099.860000133,4,59.45,SPEED_VIOLATION,2099.860000133,1970-01-01 00:34:59.860000133,59,Speed 59.45 km/h > limit 30.00 km/h ,"(x=64.510757, y=-9.740417, z=-0.000156)"
2105.55000019,4,45.15,SPEED_VIOLATION,2105.55000019,1970-01-01 00:35:05.550000190,5,Speed 45.15 km/h > limit 30.00 km/h ,"(x=9.170721, y=-15.408344, z=0.001585)"
2129.279999971,4,75.97,SPEED_VIOLATION,2129.279999971,1970-01-01 00:35:29.279999971,29,Speed 75.97 km/h > limit 30.00 km/h ,"(x=35.964352, y=2.891632, z=0.001449)"
2139.039999962,4,90.19,SPEED_VIOLATION,2139.039999962,1970-01-01 00:35:39.039999962,39,Speed 90.19 km/h > limit 30.00 km/h ,"(x=230.504059, y=43.196018, z=0.001294)"
2139.539999962,4,97.68,SPEED_VIOLATION,2139.539999962,1970-01-01 00:35:39.539999962,39,Speed 97.68 km/h > limit 90.00 km/h ,"(x=229.953369, y=95.435242, z=0.253366)"
2147.340000152,4,98.91,SPEED_VIOLATION,2147.340000152,1970-01-01 00:35:47.340000152,47,Speed 98.91 km/h > limit 90.00 km/h ,"(x=169.364288, y=193.887787, z=2.821999)"
2167.380000114,4,8.01,RED_LIGHT_VIOLATION,2167.380000114,1970-01-01 00:36:07.380000114,7,TrafficLight Violation ,"(x=6.395911, y=147.304932, z=0.001443)"
2176.320000171,4,74.63,SPEED_VIOLATION,2176.320000171,1970-01-01 00:36:16.320000171,16,Speed 74.63 km/h > limit 60.00 km/h ,"(x=60.536243, y=134.443283, z=0.002877)"
2205.690000057,4,133.21,SPEED_VIOLATION,2205.690000057,1970-01-01 00:36:45.690000057,45,Speed 133.21 km/h > limit 60.00 km/h ,"(x=240.964020, y=13.378605, z=0.001502)"
2216.740000009,4,38.99,YELLOW_LIGHT_PASS,2216.740000009,1970-01-01 00:36:56.740000009,56,Passed yellow ,"(x=103.258492, y=-202.005814, z=0.001788)"
2228.00999999,4,68.36,SPEED_VIOLATION,2228.00999999,1970-01-01 00:37:08.009999990,8,Speed 68.36 km/h > limit 60.00 km/h ,"(x=36.700344, y=-138.796722, z=2.028577)"
2230.310000181,4,56.3,RED_LIGHT_VIOLATION,2230.310000181,1970-01-01 00:37:10.310000181,10,TrafficLight Violation ,"(x=5.175562, y=-122.113327, z=0.001643)"
2233.610000133,4,91.12,SPEED_VIOLATION,2233.610000133,1970-01-01 00:37:13.610000133,13,Speed 91.12 km/h > limit 60.00 km/h ,"(x=0.831588, y=-109.375839, z=0.001519)"
2250.00999999,4,318.76,PHASE_STOP,2250.00999999,1970-01-01 00:37:30.009999990,30,Assisted-AH,
2250.00999999,4,318.76,PHASE_STOP,2250.00999999,1970-01-01 00:37:30.009999990,30,Assisted-AH,
